ano,mes,tipoDespesa,codDocumento,tipoDocumento,codTipoDocumento,dataDocumento,numDocumento,valorDocumento,urlDocumento,nomeFornecedor,cnpjCpfFornecedor,valorLiquido,valorGlosa,numRessarcimento,codLote,parcela,idDeputado,data_captura
2026,1,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,8055147,RECIBOS/OUTROS,1,2026-01-22 00:00:00,IEE2026001402120,320.0,HTTPS://WWW.CAMARA.LEG.BR/COTA-PARLAMENTAR/DOCUMENTOS/PUBL/3195/2026/8055147.PDF,ADOBE SYSTEMS SOFTWARE IRELAND LTD,00000000000010,320.0,0.0,,2211594,0,204528,2026-06-01 00:26:35
2026,2,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,8079252,RECIBOS/OUTROS,1,2026-02-22 00:00:00,IEE2026003422072,320.0,HTTPS://WWW.CAMARA.LEG.BR/COTA-PARLAMENTAR/DOCUMENTOS/PUBL/3195/2026/8079252.PDF,ADOBE SYSTEMS SOFTWARE IRELAND LTD,00000000000010,320.0,0.0,,2224959,0,204528,2026-06-01 00:26:35
2026,3,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,8082207,RECIBOS/OUTROS,1,2026-03-22 00:00:00,IEE2026005437445,320.0,HTTPS://WWW.CAMARA.LEG.BR/COTA-PARLAMENTAR/DOCUMENTOS/PUBL/3195/2026/8082207.PDF,ADOBE SYSTEMS SOFTWARE IRELAND LTD,00000000000010,320.0,0.0,,2226594,0,204528,2026-06-01 00:26:35
2026,1,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,8055155,RECIBOS/OUTROS,1,2026-01-22 00:00:00,288AC037-0038,2917.46,HTTPS://WWW.CAMARA.LEG.BR/COTA-PARLAMENTAR/DOCUMENTOS/PUBL/3195/2026/8055155.PDF,AIRTABLE,00000000000010,2917.46,0.0,,2211594,0,204528,2026-06-01 00:26:35
2026,2,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,8079247,RECIBOS/OUTROS,1,2026-02-22 00:00:00,288AC037-0039,2471.74,HTTPS://WWW.CAMARA.LEG.BR/COTA-PARLAMENTAR/DOCUMENTOS/PUBL/3195/2026/8079247.PDF,AIRTABLE,00000000000010,2471.74,0.0,,2224959,0,204528,2026-06-01 00:26:35
2026,3,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,8082148,RECIBOS/OUTROS,1,2026-03-22 00:00:00,288AC037-0040,2480.5,HTTPS://WWW.CAMARA.LEG.BR/COTA-PARLAMENTAR/DOCUMENTOS/PUBL/3195/2026/8082148.PDF,AIRTABLE,00000000000010,2480.5,0.0,,2226593,0,204528,2026-06-01 00:26:35
2026,3,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,8082142,NOTA FISCAL,0,2026-03-19 00:00:00,290223,899.0,HTTPS://WWW.CAMARA.LEG.BR/COTA-PARLAMENTAR/DOCUMENTOS/PUBL/3195/2026/8082142.PDF,BOTCONVERSA LTDA,39994996000133,899.0,0.0,,2226593,0,204528,2026-06-01 00:26:35
2026,2,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,8079234,RECIBOS/OUTROS,1,2026-02-19 00:00:00,FLICKR4895019,520.89,HTTPS://WWW.CAMARA.LEG.BR/COTA-PARLAMENTAR/DOCUMENTOS/PUBL/3195/2026/8079234.PDF,"FLICKR, INC.",00000000000010,520.89,0.0,,2224959,0,204528,2026-06-01 00:26:35
2026,3,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,8082187,NOTA FISCAL,0,2026-03-29 00:00:00,15648833,349.33,HTTPS://WWW.CAMARA.LEG.BR/COTA-PARLAMENTAR/DOCUMENTOS/PUBL/3195/2026/8082187.PDF,KALUNGA SA,43283811001202,349.33,0.0,,2226594,0,204528,2026-06-01 00:26:35
2026,3,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,8082133,RECIBOS/OUTROS,1,2026-03-12 00:00:00,3325856-9,100.25,HTTPS://WWW.CAMARA.LEG.BR/COTA-PARLAMENTAR/DOCUMENTOS/PUBL/3195/2026/8082133.PDF,MANYCHAT,00000000000010,100.25,0.0,,2226593,0,204528,2026-06-01 00:26:35
